2015-05-18 16:19:37,1.27,0.35,0.20,0.75,0.31,0.75,0.54,0.37
2015-05-18 16:19:38,1.27,0.70,0.52,0.36,0.23,0.76,0.56,0.76
2015-05-18 16:19:39,1.27,0.60,0.51,0.31,0.63,0.52,0.56,0.55
2015-05-18 16:19:40,1.27,0.44,0.25,0.55,0.29,0.64,0.26,0.49
2015-05-18 16:19:41,1.27,0.27,0.50,0.45,0.29,0.54,0.14,0.79
2015-05-18 16:19:42,1.27,0.12,0.37,0.44,0.18,0.25,0.34,0.52
2015-05-18 16:19:43,1.27,0.38,0.14,0.70,0.57,0.38,0.18,0.47
2015-05-18 16:19:44,1.27,0.64,0.53,0.39,0.40,0.56,0.38,0.63
2015-05-18 16:19:45,1.27,0.27,0.44,0.46,0.37,0.66,0.41,0.51
2015-05-18 16:19:46,1.27,0.43,0.44,0.26,0.50,0.44,0.43,0.25
2015-05-18 16:19:47,1.27,0.62,0.22,0.28,0.41,0.28,0.67,0.24
2015-05-18 16:19:48,1.27,0.58,0.66,0.56,0.73,0.27,0.82,0.65
2015-05-18 16:19:49,1.27,0.26,0.80,0.42,0.68,0.14,0.35,0.65
2015-05-18 16:19:50,1.27,0.70,0.41,0.23,0.85,0.11,0.59,0.37
2015-05-18 16:19:51,1.27,0.57,0.49,0.22,0.74,0.57,0.35,0.76
2015-05-18 16:19:52,1.27,0.52,0.35,0.42,0.33,0.60,0.61,0.67
2015-05-18 16:19:53,1.27,0.53,0.75,0.37,0.47,0.80,0.75,0.81
2015-05-18 16:19:54,1.27,0.36,0.56,0.55,0.30,0.74,0.74,0.46
2015-05-18 16:19:55,1.27,0.56,0.45,0.57,0.49,0.29,0.48,0.46
2015-05-18 16:19:56,1.27,0.25,0.53,0.82,0.39,0.32,0.28,0.59
2015-05-18 16:19:57,1.27,0.48,0.70,0.66,0.14,0.20,0.62,0.50
2015-05-18 16:19:58,1.27,0.30,0.26,0.77,0.43,0.42,0.73,0.21
2015-05-18 16:19:59,1.27,0.13,0.37,0.28,0.56,0.58,0.36,0.18
2015-05-18 16:20:00,1.27,0.44,0.50,0.47,0.52,0.61,0.55,0.38
2015-05-18 16:20:01,1.27,0.62,0.74,0.73,0.25,0.71,0.43,0.38
2015-05-18 16:20:02,1.27,0.70,0.78,0.58,0.40,0.47,0.58,0.15
2015-05-18 16:20:03,1.27,0.68,0.54,0.46,0.30,0.31,0.47,0.40
2015-05-18 16:20:04,1.27,0.62,0.29,0.41,0.16,0.51,0.34,0.69
2015-05-18 16:20:06,1.27,0.33,0.53,0.34,0.47,0.34,0.42,0.54
